Price,LivingArea,Bathrooms,Bedrooms,LotSize,Age,Fireplace
192694,2079,2.5,3,0.44,11,0
193497,1948,2.5,3,1.13,13,1
193524,1730,2.5,3,0.66,1,1
193565,2350,2.5,3,0.3,15,1
193565,2167,2.5,3,0.37,8,1
193774,1932,2.5,4,0.41,4,1
194877,2066,2.5,4,0.65,35,1
194880,2278,2.5,4,0.45,0,1
196317,2359,2.5,4,0.61,1,1
196512,1428,2,3,0.39,20,1
196603,2064,2.5,4,0.84,3,1
196846,2144,2.5,3,0.92,19,1
196875,2086,2.5,4,0.47,17,1
197105,1894,2,3,0.34,0,1
197350,2500,3.5,4,0.21,1,1
197581,1702,1.5,3,0.61,16,1
197956,2314,2.5,4,0.01,1,1
198083,1971,2.5,4,0.49,7,1
198622,1616,2,2,1,36,1
198622,2024,2,3,1.55,25,1
198622,1971,2.5,4,0.35,11,0
198969,1938,2.5,3,0.63,26,1
199187,2223,2.5,4,4.34,9,0
199684,2275,2.5,4,2.17,0,0
199733,840,1,2,0.35,50,0
199900,1808,1.5,2,2,6,1
199990,2011,2.5,4,0.67,12,0
200126,1690,2.5,3,0.46,5,1
200510,1806,2,4,0.8,40,0
200713,2504,2.5,4,0.48,14,1
200791,1680,2.5,3,0.46,4,1
200793,1940,2,3,0.85,9,0
200940,1116,2,3,0.24,38,0
201616,2119,2.5,4,0.76,16,1
201876,2498,2.5,4,0.43,38,1
201928,2322,2.5,4,0.42,22,1
202157,2564,2.5,4,0.59,30,1
202527,2120,2.5,4,0.46,9,1
202751,2202,2.5,4,1.01,6,1
202800,2250,2.5,4,0.31,2,0
202836,2284,1.5,3,0.28,29,1
202836,2068,2.5,4,0.46,17,1
203240,2464,2.5,4,0.58,42,1
203478,2762,3,4,0.54,1,1
204643,1743,2.5,3,0.15,0,1
204661,1927,2,3,0.33,3,1
205070,2460,2.5,4,0.5,1,1
205073,2501,2.5,4,0.07,0,0
205397,2425,2.5,4,0.42,0,1
205498,3069,3.5,4,1.05,13,1
205947,1224,1,2,0.27,63,0
205950,1474,2,3,0.14,29,1
205950,2284,2.5,4,0.56,18,1
205950,2024,2.5,4,0.52,10,1
206415,2676,2.5,4,0.89,34,1
206480,2310,2.5,3,1,18,0
206512,1456,2,3,0.98,10,0
206512,2116,2.5,3,2.17,0,1
206688,2284,2.5,4,0.46,17,1
206931,2331,2.5,4,1,1,1
207018,2147,2.5,4,0.61,9,1
207237,2656,2.5,4,0.41,1,1
207347,2119,2.5,4,0.9,14,1
207751,2628,2.5,3,1,20,1
208048,1876,2.5,3,0.24,1,1
208253,2602,2.5,4,0.37,1,1
208339,2109,2.5,2,0.26,1,0
208610,1752,2.5,3,0.74,10,1
208635,2714,3,4,0.55,1,0
208743,1804,2.5,3,0.23,4,1
209122,3476,2.5,4,0.34,20,1
209226,2550,2.5,3,0.46,0,1
209371,2076,2.5,3,0.62,13,1
209371,2084,2.5,3,0.43,5,1
209555,2539,2.5,4,0.38,1,0
210081,1596,1,3,3.14,29,1
210081,2008,2.5,4,0.46,19,1
210646,1994,2,3,1,49,1
210672,1764,2.5,3,1,8,1
210743,2120,2.5,3,0.54,10,0
211517,2328,2.5,4,0.85,10,1
212103,1400,2,3,0.98,25,1
212103,2170,2.5,3,0.25,3,1
212830,2266,2.5,4,0.26,0,1
212846,2270,2.5,3,0.46,0,1
212932,2494,2.5,3,0.53,13,1
213048,2022,2.5,3,0.48,0,1
213137,2498,2.5,5,0.53,36,1
213249,1643,2.5,3,0.41,3,1
213249,1904,2,2,2,2,1
213901,1680,2,3,0.39,27,1
214367,2500,2.5,4,0.19,0,1
214749,2286,2.5,4,0.49,11,1
215824,2056,2.5,4,0.61,2,1
216018,1216,1.5,3,0.14,75,0
216530,2388,2.5,4,0.83,20,1
216841,2472,2.5,3,0.33,0,1
217226,2593,2.5,4,0.28,0,1
217314,2498,2.5,4,0.3,14,1
217797,1386,1.5,2,0.23,92,0
217868,3344,3.5,4,0.36,1,1
218184,2655,2.5,4,0.37,1,1
218184,2655,2.5,4,0.37,1,1
218475,2748,2.5,4,0.17,0,1
218517,2038,2.5,3,0.98,13,1
218734,2219,2.5,4,0.3,15,1
219262,2327,2.5,4,0.29,10,1
220261,2712,2.5,4,0.5,1,0
220765,2058,2.5,3,0.31,1,1
220776,2421,2.5,4,0.48,13,1
221263,2000,2.5,3,0.73,22,0
221925,2472,2,4,0.62,183,0
222198,2495,2.5,4,0.41,26,1
222330,2712,3,5,0.43,1,1
222576,3144,2.5,4,0.49,1,1
223055,2668,2.5,4,0.3,0,1
223266,2619,2.5,4,0.53,4,1
224668,2526,2.5,4,5.89,1,1
224818,2738,2.5,2,0.76,12,1
224888,1200,1,2,0.16,65,0
224928,2185,2.5,3,0.74,14,1
225742,2216,2.5,3,0.5,8,1
225885,2524,2.5,4,0.48,6,1
226304,1921,2,3,1,0,1
226705,2510,2.5,4,0.44,1,1
226742,1989,2,3,1,247,1
227314,2764,2.5,4,0.07,1,1
227994,1973,2.5,3,0.27,3,1
228291,1986,2.5,3,0.36,1,1
228375,2512,2.5,4,0.04,0,1
228619,2527,2.5,4,0.46,1,1
228806,2577,2.5,4,0.29,0,1
228904,1824,2.5,3,0.18,11,1
229055,2500,2.5,4,0.5,0,1
229180,2310,2.5,4,1.4,3,1
229761,2230,2.5,3,0.62,1,0
229915,2103,2.5,4,0.06,6,1
230414,2623,2.5,4,0.53,0,1
230708,2548,2.5,3,0.36,3,1
231298,1800,2.5,3,0.07,16,1
231749,1980,2,3,0.22,6,0
232219,2541,2.5,4,0.49,5,1
232894,2500,2.5,4,0.57,0,1
232934,2116,2.5,3,0.55,20,1
232989,2248,2.5,4,0.58,7,1
233155,3236,2.5,4,2.5,0,1
233714,2338,2.5,4,0.47,16,1
233876,2434,2.5,4,1,20,1
233876,2434,2.5,4,1,20,1
234429,1470,2.5,3,0.13,3,0
234954,2294,3.5,4,0.52,0,1
235105,2299,2.5,4,0.8,6,1
235152,3192,3,4,0.11,2,1
235620,2107,1,2,0.09,1,1
236055,2405,2.5,4,1.63,16,1
236215,1392,2.5,3,0.13,4,0
236215,2066,2.5,3,0.39,2,1
236737,3239,3.5,4,2.5,1,1
236742,2412,2.5,4,0.55,10,1
236819,2608,2.5,4,0.58,4,1
236829,2472,3.5,4,0.31,0,1
236936,2300,2.5,3,0.07,16,1
236936,2500,2.5,4,0.46,11,1
237062,2604,2.5,4,0.33,0,1
237367,2936,2.5,4,0.33,6,1
237583,2762,2.5,4,0.46,17,1
237716,2996,2.5,4,0.35,1,1
238792,2250,2.5,4,2.48,10,1
238832,2872,3,5,0.21,0,1
238951,2641,3,4,0.39,1,1
238951,2641,3,4,0.39,1,1
239301,2619,2.5,4,0.4,0,1
240590,3001,2.5,4,0.31,1,1
240639,2572,2.5,4,0.94,9,1
240857,1445,1.5,3,0.2,17,1
240872,2348,2.5,4,0.51,7,1
240890,1921,2,3,0.46,0,1
240952,2376,2.5,4,0.06,10,1
241885,2604,3,4,0.24,0,1
242952,1708,2,2,0.17,14,1
242955,1954,1.5,2,0.22,66,1
243276,3271,2.5,4,0.97,1,1
243305,2242,2.5,3,0.08,0,0
244124,2346,2.5,4,0.35,0,1
244382,2572,2.5,4,1.03,6,1
244441,2396,2.5,3,2,5,1
244443,2810,2.5,4,0.74,14,1
246976,1652,1.5,3,0.05,4,1
247125,2835,3,4,0.52,1,1
247520,2445,2.5,4,0.38,18,1
247639,1016,2,2,0.01,41,0
247839,1536,1.5,3,0.01,66,1
248204,1908,2,3,0.26,0,1
249250,2604,2.5,4,0.27,1,1
250723,2490,2.5,4,0.3,4,1
250976,2394,2.5,4,0.6,0,1
251259,1932,2,3,0.5,0,1
251400,2741,2.5,4,0.26,2,1
251699,3081,2.5,4,0.3,1,1
252872,2612,2.5,4,0.56,23,1
253433,3021,2.5,4,0.72,21,1
253545,1498,1,2,0.4,51,1
253973,2464,2.5,4,1,2,1
254327,2541,2.5,4,0.5,5,1
254944,2579,2.5,4,0.72,0,1
255303,2242,2.5,3,0.07,0,0
256417,2752,3,5,0.94,9,1
257015,2093,2.5,3,0.46,1,1
257499,1675,2.5,2,0.04,18,1
259999,2577,2.5,4,0.77,1,1
260228,2092,2.5,4,3.64,0,1
260460,3726,2.5,4,2.31,3,1
260485,2143,2.5,3,0.1,6,0
260887,2176,2,3,0,36,1
261011,3015,2.5,4,0.46,1,1
261031,2280,2.5,4,0.47,24,1
261301,1859,1.5,3,0.14,85,0
261647,1850,2.5,4,0.19,16,1
261846,2772,2.5,4,0.29,0,1
261872,2380,2.5,3,0.95,9,1
262461,2932,2.5,4,0.46,31,1
262461,2809,2.5,4,0.25,2,0
262461,2505,2.5,4,0.03,1,1
263226,3355,2.5,4,0.83,1,1
263226,3355,2.5,4,0.83,1,1
263408,1738,2,3,0.22,5,0
263938,2641,2.5,4,0.34,3,1
265515,1870,2.5,3,0.11,4,1
265637,3030,2.5,4,0.5,1,1
265848,2993,2.5,4,1.34,15,1
267731,3001,2.5,5,0.66,0,1
268260,2657,2.5,4,0.6,15,1
268783,2329,2,5,0.17,72,0
269063,3319,2.5,3,2,20,0
270841,2306,2.5,3,0.79,1,1
271339,3056,2.5,5,0.57,6,1
271578,3123,2.5,4,0.49,14,1
271791,2815,2.5,4,0.48,1,1
272902,3020,2.5,4,0.41,1,1
277235,2950,2.5,4,0.41,1,1
277828,2988,2.5,5,0.5,9,1
278906,2960,2.5,4,0.37,1,1
278936,3121,3,4,0.62,0,1
279083,1908,2,3,0.22,16,1
279522,2000,2.5,3,0.39,4,1
282289,3017,3.5,4,0.49,0,1
282373,2793,2.5,3,0.01,21,1
282655,2931,3.5,4,0.46,12,1
283851,2346,2.5,4,0.54,1,0
284154,2808,2.5,4,0.6,1,1
285500,3328,2.5,4,0.35,0,1
285769,3125,2.5,4,0.53,3,1
286474,2058,2.5,4,1.33,26,1
287360,3133,3,4,0.5,1,1
292524,2900,2.5,4,0.46,1,1
294133,3981,3,4,0.69,0,1
295268,4534,2.5,6,5.08,15,1
295426,3370,3,4,0.11,11,1
296708,3210,2.5,3,1,15,1
297024,3020,2.5,4,0.77,2,1
297174,2748,2.5,4,0.92,3,1
297380,2906,2.5,4,0.62,2,1
298549,2310,3,2,0.25,23,1
298923,3515,2.5,4,0.51,0,1
300931,847,1,2,0.55,78,0
303599,3329,1.5,3,0.62,14,0
304045,2960,2.5,4,0.61,8,1
308218,3597,2.5,4,0.51,0,1
308253,2880,2.5,4,0.66,9,1
308750,2958,2.5,4,0.92,0,1
309808,2270,2.5,3,4.05,9,1
310696,2843,2.5,4,0.71,5,1
311709,3028,2.5,5,0.66,0,1
312434,3440,2.5,4,0.63,3,1
312448,2919,2.5,4,0.05,5,1
314912,3423,2.5,4,0.38,0,1
317120,3076,3.5,4,0.92,0,1
318121,2892,3.5,4,7.76,1,1
323819,2592,3,3,0.16,1,0
325262,3496,2.5,4,1.94,7,1
326330,1326,1,3,2,52,0
328491,2733,2.5,4,0.47,3,1
329221,2934,2.5,3,0.66,9,1
329328,3542,3.5,4,0.56,1,1
329484,2786,2.5,4,0.39,0,1
330219,2576,2.5,3,0.55,31,1
332888,3111,2.5,4,0.5,3,1
333411,3356,2.5,4,0.34,6,1
334556,3376,2.5,4,0.83,7,1
334556,3296,2.5,4,0.61,6,1
337918,3026,4,4,1.34,1,1
338596,1908,3.5,4,0.24,17,1
340545,2926,3,4,0.84,11,1
345364,3308,2.5,4,0.66,7,1
347761,3820,4.5,4,1.4,18,1
354739,3982,4.5,4,5.61,6,1
355529,2186,2.5,3,1.4,12,0
357138,2618,1.5,3,1.92,1,1
357384,2322,2.5,3,0.27,0,1
366772,3200,2.5,4,1.27,1,1
368396,3358,3.5,4,0.58,9,1
373227,2058,1.5,2,0.23,49,1
378465,3457,2.5,3,1,20,1
379472,3440,4,5,0.77,1,1
379678,3720,4,5,0.8,0,1
387652,3504,2.5,5,0.9,0,1
391842,3003,3.5,4,0.46,88,1
394532,3361,3.5,4,0.71,1,1
432845,3250,2.5,3,0.53,23,1
446436,3467,2.5,4,0.34,3,1
